
#1:1 2:2 3:3 4:4 5:5 6:6 7:7 8:8 9:9 10:10 11:11 12:12 13:13 14:14 15:15 16:16 17:17 18:18 19:19 20:20 21:21 22:22 23:23 24:24 25:25 26:26 27:27 28:28 29:29 30:30 
1963 306 1783 W W W W W W W W W W W W W W W W W W W W W W W W W B R
1963 333 1784 Y R R R B B B B B B Y B B B R R R R R Y R B B B B B B
1963 360 1785 Y B Y R R R B B B B B B B R R R R Y W W W W B B B B B
1964  22 1786 B Y W R R R W B B B W B Y Y W R Y Y W Y R W W B B W W
1964  49 1787 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964  76 1788 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 103 1789 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 130 1790 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 157 1791 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 184 1792 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 211 1793 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 238 1794 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 265 1795 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 292 1796 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 319 1797 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1964 346 1798 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1965   7 1799 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1965  34 1800 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1965  61 1801 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1965  88 1802 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1965 115 1803 W W W W W W W W W W W W W W W W W W W W W W W W W W W
1965 142 1804 W W W W W W W W W W R R W W W R R R W W B W B B W W B
1965 169 1805 Y Y R W W R R B B W Y R R R W W R Y B B Y Y R R Y Y Y
1965 196 1806 R R R Y R Y R Y B B B B R R R R Y W Y R R W R R R R Y
1965 223 1807 R Y Y R R R R R B B B B B Y W R R R R Y R R Y R R R R
1965 250 1808 R R R R R R R R R B B B B B B Y R R R R Y B R R R R R
1965 277 1809 R R R Y R R R R R R R R B Y B Y Y R R Y B B R R Y R R
1965 304 1810 R R R R Y Y B W W R R R R B W R R Y Y B B B B B R R W
